 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
     404 0.794E-05 0.213E-04 0.963E-05 0.000E+00
     405 0.136E-04 0.437E-04 0.167E-04 0.000E+00
     406 0.153E-04 0.229E-04 0.107E-04 0.000E+00
     407 0.109E-04 0.185E-04 0.130E-04 0.000E+00
     408 0.153E-04 0.158E-04 0.139E-04 0.000E+00
     409 0.867E-05 0.182E-04 0.128E-04 0.000E+00
     410 0.104E-04 0.260E-04 0.111E-04 0.000E+00
     411 0.951E-05 0.213E-04 0.107E-04 0.000E+00
     412 0.107E-04 0.258E-04 0.121E-04 0.000E+00
     413 0.863E-05 0.166E-04 0.124E-04 0.000E+00
     414 0.104E-04 0.194E-04 0.106E-04 0.000E+00
     415 0.154E-04 0.373E-04 0.136E-04 0.000E+00
     416 0.154E-04 0.270E-04 0.131E-04 0.000E+00
     417 0.109E-04 0.148E-04 0.146E-04 0.000E+00
     418 0.109E-04 0.209E-04 0.124E-04 0.000E+00
     419 0.112E-04 0.154E-04 0.132E-04 0.000E+00
     420 0.925E-05 0.169E-04 0.903E-05 0.000E+00
     421 0.821E-05 0.314E-04 0.153E-04 0.000E+00
     422 0.821E-05 0.175E-04 0.959E-05 0.000E+00
     423 0.821E-05 0.227E-04 0.142E-04 0.000E+00
     424 0.951E-05 0.219E-04 0.128E-04 0.000E+00
     425 0.115E-04 0.228E-04 0.127E-04 0.000E+00
     426 0.904E-05 0.229E-04 0.111E-04 0.000E+00
     427 0.894E-05 0.310E-04 0.162E-04 0.000E+00
     428 0.829E-05 0.309E-04 0.143E-04 0.000E+00
     429 0.883E-05 0.204E-04 0.141E-04 0.000E+00
     430 0.743E-05 0.204E-04 0.122E-04 0.000E+00
